sample_id,process_id,nominal_stack_id,nominal_stack_name,split_label,cavity_true_um,L_fft_um,delta_L_nm,H_peak,peak_count,film_HSQ_nominal_nm,film_PSS_nominal_nm,film_SOC_nominal_nm,film_TiO2_nominal_nm,film_HSQ_delta_nm,film_PSS_delta_nm,film_SOC_delta_nm,film_TiO2_delta_nm,film_HSQ_true_nm,film_PSS_true_nm,film_SOC_true_nm,film_TiO2_true_nm
102,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.204,1001.068696565234,-864.6965652339986,780.9427490234375,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
103,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.206,1001.068696565234,-862.6965652339322,782.2672119140625,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
104,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.208,1001.068696565234,-860.6965652339795,783.0377197265625,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
105,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.21,1001.0874456277808,-877.4456277807303,783.5611572265625,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
106,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.212,1001.0874456277808,-875.4456277807776,784.3970336914062,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
107,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.214,1001.0874456277808,-873.4456277807112,784.73486328125,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
108,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.216,1001.0874456277808,-871.4456277807585,784.660888671875,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
109,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.218,1001.0874456277808,-869.4456277808058,784.267578125,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
110,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.22,1001.0874456277808,-867.4456277807394,783.6376953125,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
111,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.222,1001.0874456277808,-865.4456277807867,782.83056640625,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
112,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.224,1001.0874456277808,-863.4456277807203,781.8749389648438,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
113,0,0,model_000_hsq20_pss5_soc40_tio220,train,1000.226,1001.0874456277808,-861.4456277807676,780.7699584960938,1,20.0,5.0,40.0,20.0,0.0,0.0,0.0,0.0,20.0,5.0,40.0,20.0
